"TOA5","DroughtNet","CR1000","73052","CR1000.Std.28.02","CPU:DryNet20151110.CR1","60679","soilM"
"TIMESTAMP","RECORD","BattV_Avg","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","VW_Avg(4)","VW_Avg(5)","VW_Avg(6)","VW_Avg(7)","VW_Avg(8)","VW_Avg(9)","VW_Avg(10)","VW_Avg(11)","VW_Avg(12)","VW_Avg(13)","VW_Avg(14)","VW_Avg(15)","VW_Avg(16)"
"TS","RN","Volts","","","","","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-05-01 00:45:00",1003,12.97,0.043,0.049,0.036,0.026,0.038,0.026,0.053,0.041,0.035,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 01:00:00",1004,12.96,0.043,0.049,0.037,0.026,0.038,0.026,0.053,0.04,0.035,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 01:15:00",1005,12.95,0.043,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.035,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 01:30:00",1006,12.95,0.043,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.035,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 01:45:00",1007,12.94,0.043,0.049,0.037,0.026,0.038,0.026,0.053,0.04,0.035,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 02:00:00",1008,12.93,0.043,0.049,0.037,0.026,0.038,0.026,0.053,0.04,0.035,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 02:15:00",1009,12.93,0.043,0.049,0.037,0.026,0.038,0.026,0.053,0.04,0.035,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 02:30:00",1010,12.92,0.043,0.049,0.037,0.026,0.038,0.026,0.053,0.04,0.035,0.022,0.034,0.032,0.037,0.036,0.06,0.047
"2018-05-01 02:45:00",1011,12.91,0.043,0.049,0.036,0.026,0.038,0.026,0.053,0.04,0.035,0.022,0.034,0.033,0.037,0.036,0.06,0.047
"2018-05-01 03:00:00",1012,12.91,0.043,0.049,0.036,0.026,0.038,0.026,0.053,0.04,0.035,0.022,0.034,0.032,0.037,0.036,0.06,0.047
"2018-05-01 03:15:00",1013,12.91,0.043,0.049,0.036,0.026,0.038,0.026,0.053,0.04,0.034,0.022,0.034,0.032,0.037,0.036,0.06,0.047
"2018-05-01 03:30:00",1014,12.9,0.043,0.049,0.036,0.026,0.038,0.026,0.053,0.04,0.034,0.022,0.034,0.032,0.037,0.036,0.06,0.047
"2018-05-01 03:45:00",1015,12.89,0.043,0.049,0.036,0.026,0.037,0.026,0.053,0.04,0.034,0.022,0.034,0.033,0.037,0.036,0.06,0.047
